detailedItemId,detailedItemName,itemId
DITM-000196,Concrete Additives/Admixtures,ITM-009824
DITM-000195,Concrete,ITM-002048
DITM-000194,Capacitor Banks,ITM-009836
DITM-000193,Cable Terminations and Joints,ITM-009834
DITM-000192,Busbar,ITM-002567
DITM-000191,Armour Rods,ITM-009829
DITM-000190,Anti-Climbing Fence,ITM-001971
DITM-000189,Aerial Marker Balls,ITM-009831
DITM-000167,Hydrogen Production Cooling System,ITM-009844
DITM-000166,Hydrogen Generation,ITM-009842
DITM-000165,Hydrogen Gas Storage - Tanks,ITM-002397
DITM-000164,Hydrogen Gas Compressor,ITM-002679
DITM-000163,Hydrogen Electrolyser,ITM-009311
DITM-000162,Whiteboards,ITM-002382
DITM-000155,Wall Lighting,ITM-001647
DITM-000154,Vinyl Flooring,ITM-001786
DITM-000153,Track Lighting,ITM-001647
DITM-000152,Toilets,ITM-009759
DITM-000150,Tiles - Concrete,ITM-001900
DITM-000149,Tiles - Ceramic/Porcelain,ITM-002718
DITM-000148,Tapware,ITM-002379
DITM-000142,Shower Screen,ITM-003594
DITM-000141,Shower Base/Tray,ITM-008008
DITM-000140,Sconces,ITM-001647
DITM-000139,Rubber Flooring,ITM-002748
DITM-000138,Refrigerators (Domestic),ITM-001488
DITM-000137,Refrigerators (Commercial),ITM-001488
DITM-000136,Refrigerated Air Conditioning,ITM-002775
DITM-000135,Recessed Lighting,ITM-001647
DITM-000134,Portable Air Conditioners,ITM-002775
DITM-000133,Plugs and Sockets,ITM-004119
DITM-000132,Pendant Light,ITM-001647
DITM-000131,Partitions (Showers/Toilets),ITM-002627
DITM-000130,Panic/Duress Alarm,ITM-003587
DITM-000129,Office Furniture - Desks/Workstations,ITM-001776
DITM-000128,Office Furniture - Cubicles/Partitions,ITM-001776
DITM-000127,Office Furniture - Chairs,ITM-001776
DITM-000126,Office Furniture - Cabinets/Shelving,ITM-001776
DITM-000125,Mirrors,ITM-002146
DITM-000124,Medical Furniture - Mattresses,ITM-004893
DITM-000123,Medical Furniture - Chairs,ITM-002797
DITM-000122,Medical Furniture - Beds,ITM-002561
DITM-000121,Medical Alert Systems,ITM-001881
DITM-000120,Light Switches,ITM-006839
DITM-000119,Laminate Flooring,ITM-009840
DITM-000118,Induction Cooktop,ITM-002411
DITM-000117,Hot Plates,ITM-002290
DITM-000116,Heaters (Fireplaces/Wood Heaters/Electric Heaters),ITM-009839
DITM-000115,Fryers,ITM-002290
DITM-000114,Floorboards - Timber,ITM-005555
DITM-000113,Floorboards - Bamboo,ITM-009838
DITM-000112,Flood Sensors,ITM-001603
DITM-000111,Fire Alarm/Smoke Detectors,ITM-005558
DITM-000109,Evaporative Air Conditioners,ITM-002775
DITM-000108,Educational Furniture - Tables,ITM-002796
DITM-000107,Educational Furniture - Playground Furniture,ITM-001975
DITM-000106,Educational Furniture - Desks/Workstations,ITM-001776
DITM-000105,Educational Furniture - Chairs,ITM-002797
DITM-000104,Educational Furniture - Cabinets/Shelving,ITM-002381
DITM-000103,Ducted Indoor Units,ITM-002108
DITM-000102,Ducted Gas Heating,ITM-002108
DITM-000101,Dishwasher (Commercial),ITM-001412
DITM-000100,Cove Lighting,ITM-001647
DITM-000099,Correctional Furniture - Tables,ITM-002796
DITM-000098,Correctional Furniture - Mattresses,ITM-004893
DITM-000097,Correctional Furniture - Courtyard Furniture,ITM-002831
DITM-000096,Correctional Furniture - Chairs,ITM-002797
