organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-010813,0019S000007HUTW,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017973,0019S000007HUTW,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010803,001ON000002FTT7,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017962,001ON000002FTT7,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010763,001ON000002VXQM,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017904,001ON000002VXQM,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010789,001ON000003CUIM,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017942,001ON000003CUIM,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010802,001ON000003GQVQ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017959,001ON000003GQVQ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010847,001ON000003GWHK,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018022,001ON000003GWHK,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010759,001ON000003RZOU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017900,001ON000003RZOU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010860,001ON000004X7NX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018036,001ON000004X7NX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010834,001ON000006A8LX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018004,001ON000006A8LX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010815,001ON000006OPRE,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017975,001ON000006OPRE,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010781,001ON000006P2Y5,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017932,001ON000006P2Y5,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010751,001ON000006P4WG,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017887,001ON000006P4WG,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010762,001ON000006P8BI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017903,001ON000006P8BI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010810,001ON000006P99V,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017970,001ON000006P99V,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010828,001ON000007HKJD,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017996,001ON000007HKJD,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010785,001ON00000BY8EI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017937,001ON00000BY8EI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010862,001ON00000CH364,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018038,001ON00000CH364,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018009,001ON00000COBLB,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010841,001ON00000H2HZ6,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018015,001ON00000H2HZ6,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010570,001ON00000JFSQQ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017832,001ON00000JFSQQ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010574,001ON00000JFZP9,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017840,001ON00000JFZP9,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010576,001ON00000JFZPC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017842,001ON00000JFZPC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017843,001ON00000JFZQD,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017845,001ON00000JFZQV,ITM-009904,DITM-000512,Wholesaler,2025-06-01,SM-000484
OC-017848,001ON00000JFZQD,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
