sectorMappingId,sectorName
SM-000023,Additive Manufacturing
SM-000021,Additive Manufacturing
SM-000020,Additive Manufacturing
SM-000019,Additive Manufacturing
SM-000018,Additive Manufacturing
SM-000017,Additive Manufacturing
SM-000016,Additive Manufacturing
SM-000015,Additive Manufacturing
SM-000014,Additive Manufacturing
SM-000011,Additive Manufacturing
SM-000010,Additive Manufacturing
SM-000009,Additive Manufacturing
SM-000008,Additive Manufacturing
SM-000007,Additive Manufacturing
SM-000006,Additive Manufacturing
SM-000005,Additive Manufacturing
SM-000004,Additive Manufacturing
SM-000003,Additive Manufacturing
SM-000002,Additive Manufacturing
SM-000001,Additive Manufacturing
SM-000000,Additive Manufacturing
