Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,air compressor,ITM-002679,Compressor,OC-013553,,001On00000Hn7xs,Service Provider,1/06/2025,106 Fairbank Road,Clayton South,VIC,3169,,,"106 Fairbank Road, Clayton South, VIC, 3169",-37.9416826,145.1254847,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013579,,001On00000Iqv6P,Service Provider,1/06/2025,379-383 Lower Dandenong Road,Dingley Village,VIC ,3172,,,"379-383 Lower Dandenong Road, Dingley Village, VIC, 3172",-37.9863909,145.1122642,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013590,,001On00000Jd64F,Service Provider,1/06/2025,Factory 3/7 Barry Ct, Wangaratta,VIC,3677,,,"Factory 3/7 Barry Ct, Wangaratta, VIC, 3677",-36.3652322,146.2932958,photon,success
,,air compressor,ITM-002679,Compressor,OC-013539,,001On00000JfSqh,Service Provider,1/06/2025,Level 8 1008 Hay Street,PERTH,WA,6000,,,"Level 8 1008 Hay Street, PERTH, WA, 6000",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013536,,001On00000JfZkp,Service Provider,1/06/2025,32 Ebden St,Ballarat East,VIC,3350,,,"32 Ebden St, Ballarat East, VIC, 3350",-37.5587704,143.8655056,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013542,,001On00000JfZqY,Service Provider,1/06/2025,16 Homevale Dr,Botanic Ridge,VIC ,3977,,,"16 Homevale Dr, Botanic Ridge, VIC, 3977",-38.1432103,145.2898013,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013543,,001On00000JfZqe,Service Provider,1/06/2025,"15 -19 Grey Gum Road,",Taree,NSW,2430,,,"15 -19 Grey Gum Road, Taree, NSW, 2430",-31.8935757,152.4514301,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013545,,001On00000JfZqj,Service Provider,1/06/2025,Whittlesea Kinglake Road,Kinglake West,VIC ,3757,,,"Whittlesea Kinglake Road, Kinglake West, VIC, 3757",-37.47665,145.2380687,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013546,,001On00000JfZqt,Service Provider,1/06/2025,"28 Cerina Circuit,",Jimboomba,QLD,4280,,,"28 Cerina Circuit, Jimboomba, QLD, 4280",-27.8347044,153.0235658,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013550,,001On00000JfZrM,Service Provider,1/06/2025,37-53 Whiteside Rd,Clayton South,VIC,3169,,,"37-53 Whiteside Rd, Clayton South, VIC, 3169",-37.938613,145.1219301,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013643,,001On00000JfZvR,Service Provider,1/06/2025,12 Langslow St.,Castlemaine,VIC,3450,,,"12 Langslow St., Castlemaine, VIC, 3450",-37.0737254,144.1969545,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013502,,001On00000JfZw9,Item Supplier,1/06/2025,6/2A Holmwood Road ,Tottenham,VIC,3012,,,"6/2A Holmwood Road, Tottenham, VIC, 3012",-37.8120457,144.8583024,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-007945,,001On00000JfZwA,Manufacturer,1/06/2025,38-40 Wingfield Road,Wingfield,SA,5013,,,"38-40 Wingfield Road, Wingfield, SA, 5013",-34.8468231,138.5509931,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013527,,001On00000JfZwA,Manufacturer,1/06/2025,38-40 Wingfield Road,Wingfield,SA,5013,,,"38-40 Wingfield Road, Wingfield, SA, 5013",-34.8468231,138.5509931,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013565,,001On00000JfZxl,Service Provider,1/06/2025,1/11 Pilgrim Court,Ringwood,VIC,3134,,,"1/11 Pilgrim Court, Ringwood, VIC, 3134",-37.8294874,145.2145727,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013566,,001On00000JfZxp,Service Provider,1/06/2025,"82 Eagle Street,",Brisbane,QLD,4000,,,"82 Eagle Street, Brisbane, QLD, 4000",-27.4667415,153.0298088,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013568,,001On00000JfZxz,Service Provider,1/06/2025,Earlwood Dr,Wheelers Hill,VIC,3150,,,"Earlwood Dr, Wheelers Hill, VIC, 3150",-37.9100278,145.1738559,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013569,,001On00000Jfa1H,Service Provider,1/06/2025,16 Hooper Rd,Wonga Park,VIC ,3115,,,"16 Hooper Rd, Wonga Park, VIC, 3115",-37.7439225,145.2501976,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013574,,001On00000Jfa3G,Service Provider,1/06/2025,4 Bowsprit Way,Kilcunda,VIC ,3995,,,"4 Bowsprit Way, Kilcunda, VIC, 3995",-38.5491676,145.4795518,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013575,,001On00000Jfa3I,Service Provider,1/06/2025,65 Canterbury Road,Montrose,VIC ,3765,,,"65 Canterbury Road, Montrose, VIC, 3765",-37.8149368,145.3274115,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013576,,001On00000Jfa3J,Service Provider,1/06/2025,57-59 HENDERSON ROAD,Clayton North,VIC,3168,,,"57-59 HENDERSON ROAD, Clayton North, VIC, 3168",-37.914906,145.1450072,photon,success
,,air compressor,ITM-002679,Compressor,OC-013578,,001On00000Jfa3W,Service Provider,1/06/2025,"Level 26, 44 Market Street",Sydney,NSW,2000,,,"Level 26, 44 Market Street, Sydney, NSW, 2000",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013581,,001On00000Jfa3h,Service Provider,1/06/2025,"27/ 10 Anderson Street,",Banksmeadow,NSW,2019,,,"27/ 10 Anderson Street, Banksmeadow, NSW, 2019",-33.9471155,151.2129702,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013582,,001On00000Jfa40,Service Provider,1/06/2025,Moorabool St,Geelong,VIC,3220,,,"Moorabool St, Geelong, VIC, 3220",-38.1520354,144.3585454,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013583,,001On00000Jfa4K,Service Provider,1/06/2025,7 Suffolk Road,Dandenong North,VIC ,3175,,,"7 Suffolk Road, Dandenong North, VIC, 3175",-37.9482299,145.2209441,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-007942,,001On00000JfaAQ,Manufacturer,1/06/2025,12 Sabre Crescent,JANDAKOT,WA,6164,,,"12 Sabre Crescent, JANDAKOT, WA, 6164",-32.0922584,115.8659772,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013524,,001On00000JfaAQ,Manufacturer,1/06/2025,12 Sabre Crescent,JANDAKOT,WA,6164,,,"12 Sabre Crescent, JANDAKOT, WA, 6164",-32.0922584,115.8659772,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013597,,001On00000JfaEh,Service Provider,1/06/2025,"20 Burlington Street,",Oakleigh,VIC,3166,,,"20 Burlington Street, Oakleigh, VIC, 3166",-37.9020884,145.0933022,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013599,,001On00000JfaFM,Service Provider,1/06/2025,"14 Sigma Drive,",Croydon South,VIC,3136,,,"14 Sigma Drive, Croydon South, VIC, 3136",-37.8162573,145.2955891,nominatim,success
