Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name
,,filters,ITM-009395,Disc or Pressure Filters,OC-018171,,001On00000OCss0,Supplier,1/07/2025,"63-65 Maffra Street,",Coolaroo,VIC,3048,,
,,filters,ITM-009395,Disc or Pressure Filters,OC-018172,,001On00000OCss1,Supplier,1/07/2025,"24 Smallwood Street,",Underwood,QLD,4119,,
,,filters,ITM-009395,Disc or Pressure Filters,OC-018175,,001On00000OCss2,Supplier,1/07/2025,"27 Kalinya Close,",Cameron Park,NSW,2285,,
Subtotal,Count,8,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000522,,filter - screen,ITM-003566,Ceramic Filters,OC-018165,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,SM-000506,Critical Minerals
,,filter - screen,ITM-003566,Ceramic Filters,OC-018164,,001On00000OCsrv,Supplier,1/07/2025,"51 Union Road,",Carmel,WA,6076,,
,,filter - screen,ITM-003566,Ceramic Filters,OC-018166,,001On00000OCsrw,Supplier,1/07/2025,"98-102 Wetherill Street North,",Silverwater,NSW,2128,,
,,filter - screen,ITM-003566,Ceramic Filters,OC-018167,,001On00000OCsrx,Supplier,1/07/2025,"849 Wellington Street,",West Perth,WA,6005,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000521,,milling equipment,ITM-009354,SAG/Ball Mills,OC-011018,,001On00000AltjY,Manufacturer,1/07/2025,3 Alice Street,BASSENDEAN,WA,6054,SM-000501,Critical Minerals
,,milling equipment,ITM-009354,SAG/Ball Mills,OC-018149,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,,
,,milling equipment,ITM-009354,SAG/Ball Mills,OC-018150,,001On00000OCsro,Supplier,1/07/2025,"Suite 201, Level 2, Small Tower, 63 Parramatta Rd,",Silverwater,NSW,2128,,
,,milling equipment,ITM-009354,SAG/Ball Mills,OC-018151,,001On00000OCsrp,Supplier,1/07/2025,"67 Randle Rd,",Pinkenba,QLD,4008,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000520,,milling equipment,ITM-009354,IsaMill/Ultra-fine grinders,OC-018138,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,SM-000498,Critical Minerals
,,milling equipment,ITM-009354,IsaMill/Ultra-fine grinders,OC-018136,,001On00000OCsrj,Supplier,1/07/2025,"29/180 Ann St,",Brisbane City,QLD,4000,,
,,milling equipment,ITM-009354,IsaMill/Ultra-fine grinders,OC-018137,,001On00000OCsrk,Manufacturer,1/07/2025,"11 Commercial Road,",Notting Hill,VIC,3168,,
Subtotal,Count,3,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000519,,milling equipment,ITM-009354,High-Pressure Grinding Rolls (HPGR),OC-011010,,001On00000AltjY,Manufacturer,1/07/2025,3 Alice Street,BASSENDEAN,WA,6054,SM-000497,Critical Minerals
,,milling equipment,ITM-009354,High-Pressure Grinding Rolls (HPGR),OC-018134,,001On00000BeX5Q,Supplier,1/07/2025,"7/10 Denoci Cl,",Wetherill Park,NSW,2164,,
,,milling equipment,ITM-009354,High-Pressure Grinding Rolls (HPGR),OC-018132,,001On00000OCsrN,Manufacturer,1/07/2025,"862 Cockburn Road,",Henderson,WA,6166,,
